video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7258062725111172358,2023-07-21T02:30:20,50,CO,150500,8101,9819,3400000,"Casa de Lujo Moderna en Envigado Antioquia. Clima cálido Solo venta cuatro mil cuatrocientos cincuenta millones, sin muebles. Casa de 434 m2 6 habitaciones. Principal con jacuzzi moderna con piscina climatizada y cascada. Área de Gym de 150m2,o para más habitaciones.  Pérgolas y terrazas 500m2. & cocina exterior & Televisión & ducha & baño para hombres y mujeres, jacuzzi 10 personas, piscina de 13 M2 con calefacción,  Lugar tranquilo e ideal para para hacer fiestas y que los vecinos no le molesten. una gran oportunidad única, todo es nuevo, tapizados, todos los enchufes son nuevos. #luxurylifestyle #homes #medellin #luxuryrealestate",False,,lucybrokermedellin,Lucy broker,,,,,,False,Medellín,"Antioquia, Colombia",
7368326536371506439,2024-05-13T05:50:18,22,VN,152700,438,1101,4000000,Uống phát hết nửa cái ô tô #thanhtailuxury #hoangtugio #trending @Phạm Tuấn 🔥 ,False,,hoangtugio.shop,Thành Tài Luxury,,,,,,False,Hanoi,Vietnam,
7280266762518564128,2023-09-18T22:33:21,42,DE,58900,7119,1053,810700,Life of luxury but funny 🤣 #memes #Meme #fy #fyp #viral #💀 #dailymemes #😂 #memestiktok #funnymoments #funny #whatisthis #meme #lifeofluxury #funnylifeofluxury ,False,,daily_memes7052,—͟͞͞★ⅅᾰı𝔩𐍅𝑀𝕖𝑚𝕖ʂ—͟͞͞★,,,,,,False,,,
7395573919891213601,2024-07-25T16:04:05,22,ES,407200,30700,1020,4000000,This is Tanzania 🇹🇿 one of the most beautiful countries on earth! #tanzania #tanzania🇹🇿 #africatravel #safari #zanzibar #zanzibartiktok #tiktoktravel ,False,,thedaydreamdrifters,Carrie & Javier - Travel ✈️,,,,,,False,Tanzania,"Singida, Tanzania",
7376935840347426053,2024-06-05T10:38:45,21,PK,262800,10900,2087,6100000,Wow What a Beautiful❤️ Park View City📍 Islamabad🍂 #fyp #canada #travelwithshina #canada_life🇨🇦 #trending #tiktok #islamabad ,False,,travelwithshina,Travelwithshina,,,,,,False,Park View City Islamabad,"Park View City Park Road Chakshazad, Islamabad, Islamabad 44000, Pakistan",Islamabad
7390826553397071137,2024-07-12T21:01:49,22,FR,346800,7474,16400,7400000,في رأيكم ما اسم هذا البلد ؟! من اجمل الطبيعات في العالم ❤️🌳 . . . . . . . . #الجزائر #المغرب #تونس #السعودية #العراق #algeria #dz #dzpower #dzair #maroc #tunisia #السفر #travel ,False,,dz.travelgirl,dz.travelgirl,,,,,,False,,,
7346205797690395910,2024-03-14T14:10:28,54,PH,1600000,101700,12900,33000000,Limatik sa Mt. Isarog Part 1 🪱 #travelkompanyeros #hiking #hikerslife #limatik ,False,,travelkompanyerosph,Travel Kompanyeros,,,,,,False,Mt Isarog National Park,"Camarines Sur, Bicol, Philippines",Goa
7269037537354632481,2023-08-19T16:18:15,33,FR,740500,127500,10700,59000000,😑😑😑 #like #satisfyingvideo #satisfaction #acne #blackhead #pimples ,False,,satisfaction603,satisfaction603,,,,,,False,,,
7415217583038778657,2024-09-16T14:31:44,23,GB,17400,870,140,465700,ASMR Satisfying Eating Kohakutou Corn In Honey 🌽🍯 #asmr #asmrcrunch #satisfyinglips ,False,,satisfying..x..lips,Satisfying Lips 💋,,,,,,False,,,
7370627848987479329,2024-05-19T10:40:36,25,NL,254300,26400,2542,8200000,Would you try this?? #cleaning #amazing #earcleaning #wow #wouldyoutrythis #satisfying ,False,,extremesatisfyingcleaner,Extreme Satisfying Cleaning,,,,,,False,,,
